session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e4ec588502bf93157af587d,5c665e1948985d0001f09675,APPROVED,2020-02-20 17:44:40.667000,2020-02-20 19:08:56.566000,5055.899,32,344,0,100,2020-02-21 09:24:26.265000,228C6F99,United Kingdom,Germany,Full-Time,English,"English, German, French",United Kingdom,Male,No
5e4edc75d5e3ea32c5025d70,5d1cbebd56f8cf0015425d2a,RETURNED,2020-02-20 19:22:33.896000,,2414560.096003,20,58,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4edc778b0f0b32500d6579,5db28a33b1cabf000ed1a01f,APPROVED,2020-02-20 19:22:31.908000,2020-02-20 20:40:03.026000,4651.118,23,37,0,100,2020-02-21 09:24:26.453000,228C6F99,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Male,No
5e4edc7c9c5f14000b02ee65,5c5dfb15034e2800016454aa,TIMED-OUT,2020-02-20 19:22:38.249000,,2414555.770788,29,134,3,98,,,Italy,Italy,Unemployed (and job seeking),Italian,English,Italy,Female,No
5e4edc7c800b8f0852f3acfe,5c506220ba50dc0001862088,RETURNED,2020-02-20 19:22:36.492000,,2414557.557596,21,194,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4edc7d6a0f23056373639f,5c48734767be2c0001074eb6,RETURNED,2020-02-20 19:22:37.934000,,2414556.115681,33,95,4,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4edc7e5a971f000b4a05df,572a04726fe43d000f0491de,RETURNED,2020-02-20 19:32:38.442000,,2413955.607722,24,924,10,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4edc7f22c0a23269d54f08,5dee9d7e95809453d6550cc6,APPROVED,2020-02-20 19:22:39.649000,2020-02-20 20:31:24.636000,4124.987,23,15,0,100,2020-02-21 09:24:26.792000,228C6F99,Greece,Greece,Full-Time,Greek,"English, Greek, French",Greece,Male,Yes
5e4edc8b8ceb293319f6109f,5b3cb17b6779080001fe88c1,RETURNED,2020-02-20 19:22:51.337000,,2414542.749138,19,152,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4edcb3f4289c33065b59d9,5dbe22f6bdff2433c1b19850,RETURNED,2020-02-20 19:23:35.614000,,2414498.472217,21,96,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
