session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e4e502a634cfb28ef72b88d,5dc314b38531b123511f374b,RETURNED,2020-02-20 09:23:56.775000,,2450475.858554,32,43,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e502b960b9b000b741284,5d21228723c079001923a6ba,APPROVED,2020-02-20 09:27:23.002000,2020-02-20 10:29:29.959000,3726.957,23,141,1,100,2020-02-20 15:27:02.238000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5e4e502eefaaf4000bdd319f,5d5945a140d6260001b28a12,APPROVED,2020-02-20 09:25:25.436000,2020-02-20 10:51:31.798000,5166.362,19,26,1,99,2020-02-20 15:27:02.992000,228C6F99,Greece,Greece,Part-Time,Greek,"Greek, Italian, English",Greece,Male,Yes
5e4e5030969417000fec9306,5a71a08ef1530b000103cf08,APPROVED,2020-02-20 09:24:05.085000,2020-02-20 11:12:13.863000,6488.778,51,46,4,95,2020-02-20 17:19:24.777000,nocode,Guyana,Netherlands,Part-Time,Dutch,English,Netherlands,Female,No
5e4e5036c83903000cd883a2,5dffe96782a955c221410ed4,APPROVED,2020-02-20 09:25:32.680000,2020-02-20 10:19:40.787000,3248.107,21,68,0,100,2020-02-20 15:27:04.501000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5e4e5037337238000c086843,5964e073241f8d0001065056,RETURNED,2020-02-20 09:28:48.132000,,2450184.593595,,678,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e506b29428b000d64ae3b,5bbbf5339697e20001462af2,APPROVED,2020-02-20 09:27:02.594000,2020-02-20 10:40:23.050000,4400.456,26,144,2,100,2020-02-20 15:27:08.042000,228C6F99,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Portugal,Female,No
5e4e508216f8ef000bd64d73,5aacbb016be3fa00013a3251,APPROVED,2020-02-20 09:28:11.827000,2020-02-20 10:18:06.072000,2994.245,27,151,2,100,2020-02-20 15:27:08.549000,228C6F99,Italy,Italy,Part-Time,Italian,English,Italy,Male,No
5e4e509d1ed10528c8eb40fd,5e0f22357f08ed63d1410be9,RETURNED,2020-02-20 09:25:53.054000,,2450359.72444,30,21,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e50c3485acc29c90e424f,5d45bc6dde2d3a00167079db,APPROVED,2020-02-20 09:27:01.596000,2020-02-20 11:19:30.493000,6748.897,45,217,5,97,2020-02-20 15:27:08.952000,228C6F99,United States,United States,Full-Time,English,English,United States,Male,No
5e4e51025490872a1501d49d,5aadbe52811b2000016f7633,TIMED-OUT,2020-02-20 09:27:30.811000,,2450261.991413,33,461,5,99,,,United States,United States,Full-Time,English,English,United States,Male,No
5e4e51347d9f8b29b32e1326,5ce5a271f933c20001f7d152,RETURNED,2020-02-20 09:29:23.028000,,2450149.796753,34,88,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e51350f11d228d87dfd3e,5e03a03e54ff23e8ca6362c1,APPROVED,2020-02-20 09:29:22.313000,2020-02-20 10:21:41.085000,3138.772,21,33,0,100,2020-02-20 15:27:09.388000,228C6F99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,Yes
5e4e515a5490872a1501d49e,5db14f079975f80012855001,APPROVED,2020-02-20 09:29:13.614000,2020-02-20 10:40:12.543000,4258.929,25,128,0,100,2020-02-20 15:27:10,228C6F99,United States,Canada,Full-Time,English,"Chinese, English, French, German, Japanese, Korean",United States,Male,Yes
5e4e52733f4c9329b429555e,5e25529eab132b7bb83842f1,TIMED-OUT,2020-02-20 09:33:47.566000,,2449885.306275,19,32,0,100,,,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English",Italy,Male,Yes
5e4e53622e5e03293e9829a6,5cfe32e6e9fbdd00019cf719,APPROVED,2020-02-20 09:43:19.824000,2020-02-20 11:07:58.856000,5079.032,28,134,0,100,2020-02-20 15:27:10.330000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5e4e53ba0097392a236526d8,5d5ff8b32c4db6001a4c9ca5,APPROVED,2020-02-20 09:39:28.515000,2020-02-20 10:40:19.279000,3650.764,27,119,0,100,2020-02-20 15:27:10.822000,228C6F99,Bahrain,United Kingdom,Full-Time,English,"English, Hindi, Tamil",United Kingdom,Male,No
