session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,First Language,Nationality,Employment Status,Country of Birth,Sex,Current Country of Residence,Student Status
5e4d1a2396e3c315f938dcda,5d1896423dde7a00151c2d3d,RETURNED,2020-02-19 11:21:30.177000,,7643.286842,46,76,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d1dc0cce50015f51e093c,5d845d15fbc5970001e821e0,RETURNED,2020-02-19 11:36:56.854000,,6716.609877,19,23,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d1e08a80a1d16785eb131,5b6f45f685efdf00018a4228,AWAITING REVIEW,2020-02-19 11:39:26.469000,2020-02-19 12:39:20.400000,3593.931,19,156,0,100,,22D2E5F5,English,United Kingdom,Other,United Kingdom,Female,United Kingdom,Yes
5e4d1e46f6829615f758ac1c,5e132349b199e49599de669e,RETURNED,2020-02-19 11:39:34.349000,,6559.141949,48,25,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d1e99a767d815d882fe3a,5c4484b7b00b3300018f7876,RETURNED,2020-02-19 11:40:13.894000,,6519.597027,35,35,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d1f2454908716481c5e6f,59fb1518b47dfc0001b6659b,RETURNED,2020-02-19 11:42:32.893000,,6380.598066,26,316,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d1f9ccce50015f51e0948,5db31089a1f8d3000c10a6c5,AWAITING REVIEW,2020-02-19 11:47:14.653000,2020-02-19 13:04:52.261000,4657.608,57,76,1,100,,22D2E5F5,English,United Kingdom,Part-Time,United Kingdom,Female,United Kingdom,No
5e4d20d4cbba8c000cbcdcef,5dfb852818c365010b98958e,AWAITING REVIEW,2020-02-19 11:50:17.279000,2020-02-19 13:18:40.061000,5302.782,62,37,0,100,,22D2E5F5,English,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,Male,United Kingdom,No
5e4d2319d5e3ea174b01a911,5d0bb424fcb68a00164aa1ce,RETURNED,2020-02-19 12:08:17.939000,,4835.608035,35,83,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d26694b731616e12ecd15,5e2c85393d8aa12ae3fa79fc,AWAITING REVIEW,2020-02-19 12:14:37.285000,2020-02-19 13:21:47.363000,4030.078,28,14,0,100,,22D2E5F5,English,United Kingdom,Other,United Kingdom,Female,United Kingdom,No
