session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f47e7ca1c7d04241d89a5ff,5d9338fc2f873000165f8e95,RETURNED,2020-08-27 17:05:14.269000,,401603.147113,29,116,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f47e7d3de24ea23ec86aa65,5ea2dfb923c4ad05103152e8,RETURNED,2020-08-27 17:05:23.304000,,401594.112206,20,50,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f47e7d31d9c46242be80fa3,5e67b298c95246012558bab4,RETURNED,2020-08-27 17:05:23.839000,,401593.577275,18,77,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f47e7d4fca47023ea211b78,5f2ddc58d71f25126d8594d5,RETURNED,2020-08-27 17:05:44.712000,,401572.704323,23,13,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f47e7d4ba002f239118f85a,5ddc359be0b21bb985c6804d,APPROVED,2020-08-27 17:05:24.481000,2020-08-27 18:14:19.745000,4135.264,28,167,0,100,2020-08-27 20:23:55.748000,228C6F99,Canada,Canada,Full-Time,Arabic,"Arabic, English",Canada,Male,No
5f47e863fffa8723c73547d7,58f669cefb4d7500014af69b,APPROVED,2020-08-27 17:07:52.952000,2020-08-27 18:26:19.972000,4707.02,44,1069,1,100,2020-08-27 20:23:56.677000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,No
5f47ed1748bd2a23c08652cb,5efcd8aed26fd30e1ba68059,RETURNED,2020-08-27 17:27:58.974000,,400238.91151,46,23,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f47ed34733d7f24d4e49f98,5ea4273e16a0c73bcff9fcb0,RETURNED,2020-08-27 17:28:20.855000,,400217.030606,39,117,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f47ee801c384e24d5abc6c6,5f0214e58782120a8c970fd6,APPROVED,2020-08-27 17:33:52.887000,2020-08-27 19:12:41.365000,5928.478,31,27,0,100,2020-08-27 20:23:57.056000,228C6F99,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Female,Yes
5f47f9c17dfbf125fa218b00,5d77c0eb4a666c0019561a80,APPROVED,2020-08-27 18:21:53.225000,2020-08-27 20:16:27.303000,6874.078,27,158,3,99,2020-09-01 08:37:55.218000,228C6F99,Portugal,Portugal,Due to start a new job within the next month,Portuguese,"Portuguese, English",Portugal,Male,Yes
5f4802814e8b08169eb2207d,5d4573a4b2da940017184d16,RETURNED,2020-08-27 18:59:12.998000,,394765.274313,45,197,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f480dd0f5991129880309af,5eefd6f33fe1d00dd32739d9,APPROVED,2020-08-27 19:47:28.560000,2020-08-27 20:03:57.015000,988.455,23,34,0,100,2020-08-27 20:23:58.328000,228C6F99,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes
5f4d03cb564c06826abb8cce,5f13313c1589683042b7f4dd,AWAITING REVIEW,2020-08-31 14:06:05.464000,2020-08-31 15:28:58.779000,4973.315,30,15,0,100,,NOCODE,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Female,Yes
5f4d03cdf50c0e93ebe068b5,5ee49f3f80158100097e6f8c,APPROVED,2020-08-31 14:06:13.369000,2020-08-31 15:24:50.040000,4716.671,31,62,2,99,2020-09-01 08:37:56.613000,228C6F99,India,United Kingdom,Full-Time,Telugu,"English, Hindi, Urdu",United Kingdom,Female,No
5f4d03cd4528579552ea7c4a,5e31a1526ef37a1879a94441,APPROVED,2020-08-31 14:06:05.545000,2020-08-31 15:25:29.892000,4764.347,55,188,0,100,2020-09-01 08:37:57.130000,228C6F99,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f4d03cfc3fcf2941cd69edf,5f08cf4191d33d12d8af1901,REJECTED,2020-08-31 14:06:17.733000,2020-08-31 14:22:49.544000,991.811,18,16,2,92,2020-08-31 15:24:28.373000,5f08cf4191d33d12d8af1901,Poland,Poland,Full-Time,Polish,English,Poland,Female,Yes
5f4d03fea9ba629542125de2,5b9d6deeb5662700015e98dd,REJECTED,2020-08-31 14:08:48.788000,2020-08-31 14:41:30.719000,1961.931,38,258,5,99,2020-08-31 15:24:49.906000,NOCODE,Poland,Poland,Full-Time,Polish,"German, Polish, English",Poland,Female,No
5f4d040084ba2793b98465d0,5d3f10e626d3fe0018148dcf,RETURNED,2020-08-31 14:06:56.279000,,66703.297687,22,179,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f4d0dd5b56e6895df58d7d9,56f745653bd969000d170c15,APPROVED,2020-08-31 14:49:27.695000,2020-08-31 15:55:31.947000,3964.252,22,273,0,100,2020-09-01 08:37:57.700000,228C6F99,United States,United States,Full-Time,English,English,United States,Male,No
5f4d162c7f54ca0c49c4951b,5eb58476f88d4008fa483809,APPROVED,2020-08-31 15:24:28.547000,2020-08-31 16:48:22.174000,5033.627,32,73,0,100,2020-09-01 08:37:58.355000,228C6F99,United Kingdom,Portugal,Full-Time,Portuguese,"Arabic, English, Portuguese",Portugal,Male,Yes
5f4d16424f230326c119cead,5b881d46a55bb900018b07ca,RETURNED,2020-08-31 15:24:50.165000,,62029.766878,28,360,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f4d194a58dd3384528b1738,5eeb306d69a87827326a862c,APPROVED,2020-08-31 15:37:46.354000,2020-08-31 16:40:48.627000,3782.273,30,28,0,100,2020-09-01 08:38:00.550000,228C6F99,Portugal,Portugal,Full-Time,Portuguese,"English, French, German, Spanish",Portugal,Male,No
